Source,Target,Weight,Type
HenryLivingstonJr_To My Little Niece Anne Duyckinck,HenryLivingstonJr_To the Memory of Sarah Livingston,1,undirected
HenryLivingstonJr_To My Little Niece Sally Livingston,ClementClarkeMoore_Old Dobbin,1,undirected
HenryLivingstonJr_To My Little Niece Sally Livingston,ClementClarkeMoore_To the Nymphs of Mount Harmony,2,undirected
HenryLivingstonJr_To My Little Niece Sally Livingston,HenryLivingstonJr_Acrostic Eliza Hughes,1,undirected
HenryLivingstonJr_To My Little Niece Sally Livingston,HenryLivingstonJr_Careless Philosphers Soliloquy,2,undirected
HenryLivingstonJr_To My Little Niece Sally Livingston,HenryLivingstonJr_Catharine Breese Livingston,2,undirected
HenryLivingstonJr_To My Little Niece Sally Livingston,HenryLivingstonJr_To My Little Niece Anne Duyckinck,3,undirected
HenryLivingstonJr_To My Little Niece Sally Livingston,HenryLivingstonJr_To the Memory of Sarah Livingston,6,undirected
HenryLivingstonJr_To the Memory of Henry Welles Livingston,HenryLivingstonJr_On My Sister Joanna Entrance Into Her 33rd Year,1,undirected
HenryLivingstonJr_To the Memory of Henry Welles Livingston,HenryLivingstonJr_To My Little Niece Anne Duyckinck,4,undirected
HenryLivingstonJr_To the Memory of Henry Welles Livingston,HenryLivingstonJr_To the Memory of Sarah Livingston,3,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,ClementClarkeMoore_Old Dobbin,1,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,ClementClarkeMoore_On seeing my Name written in the sand of the sea-shore,2,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,ClementClarkeMoore_To a Young Lady, on her Birth-Day,2,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_A Tenant of Mrs Van Kleeck,1,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_An Elegy on the Death of Montgomery Tappen,3,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_Apostrophe,5,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_Careless Philosphers Soliloquy,3,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_Dialogue,3,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_Epithalamium A Marriage Poem,3,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_Letter Sent to Master Timmy Dwight,3,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_On My Sister Joanna Entrance Into Her 33rd Year,2,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_To My Little Niece Anne Duyckinck,1,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_To My Little Niece Sally Livingston,6,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_To the Memory of Henry Welles Livingston,3,undirected
